full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"acertar","acierto","aciertas","acierta","acertamos","acertáis","aciertan","acertaba","acertabas","acertaba","acertábamos","acertabais","acertaban","acerté","acertaste","acertó","acertamos","acertasteis","acertaron","acertaré","acertarás","acertará","acertaremos","acertaréis","acertarán","acertaría","acertarías","acertaría","acertaríamos","acertaríais","acertarían","acierte","aciertes","acierte","acertemos","acertéis","acierten","acertara","acertaras","acertara","acertáramos","acertarais","acertaran",,"acierta","acierte","acertemos","acertad","acierten",,"aciertes","acierte","acertemos","acertéis","acierten","acertando","acertado","acertado"
"advertir","advierto","adviertes","advierte","advertimos","advertís","advierten","advertía","advertías","advertía","advertíamos","advertíais","advertían","advertí","advertiste","advirtió","advertimos","advertisteis","advirtieron","advertiré","advertirás","advertirá","advertiremos","advertiréis","advertirán","advertiría","advertirías","advertiría","advertiríamos","advertiríais","advertirían","advierta","adviertas","advierta","advirtamos","advirtáis","adviertan","advirtiera","advirtieras","advirtiera","advirtiéramos","advirtierais","advirtieran",,"advierte","advierta","advirtamos","advertid","adviertan",,"adviertas","advierta","advirtamos","advirtáis","adviertan","advirtiendo","advertido","advertido"
"atravesar","atravieso","atraviesas","atraviesa","atravesamos","atravesáis","atraviesan","atravesaba","atravesabas","atravesaba","atravesábamos","atravesabais","atravesaban","atravesé","atravesaste","atravesó","atravesamos","atravesasteis","atravesaron","atravesaré","atravesarás","atravesará","atravesaremos","atravesaréis","atravesarán","atravesaría","atravesarías","atravesaría","atravesaríamos","atravesaríais","atravesarían","atraviese","atravieses","atraviese","atravesemos","atraveséis","atraviesen","atravesara","atravesaras","atravesara","atravesáramos","atravesarais","atravesaran",,"atraviesa","atraviese","atravesemos","atravesad","atraviesen",,"atravieses","atraviese","atravesemos","atraveséis","atraviesen","atravesando","atravesado","atravesado"
"calentar","caliento","calientas","calienta","calentamos","calentáis","calientan","calentaba","calentabas","calentaba","calentábamos","calentabais","calentaban","calenté","calentaste","calentó","calentamos","calentasteis","calentaron","calentaré","calentarás","calentará","calentaremos","calentaréis","calentarán","calentaría","calentarías","calentaría","calentaríamos","calentaríais","calentarían","caliente","calientes","caliente","calentemos","calentéis","calienten","calentara","calentaras","calentara","calentáramos","calentarais","calentaran",,"calienta","caliente","calentemos","calentad","calienten",,"calientes","caliente","calentemos","calentéis","calienten","calentando","calentado","calentado"
"cerrar","cierro","cierras","cierra","cerramos","cerráis","cierran","cerraba","cerrabas","cerraba","cerrábamos","cerrabais","cerraban","cerré","cerraste","cerró","cerramos","cerrasteis","cerraron","cerraré","cerrarás","cerrará","cerraremos","cerraréis","cerrarán","cerraría","cerrarías","cerraría","cerraríamos","cerraríais","cerrarían","cierre","cierres","cierre","cerremos","cerréis","cierren","cerrara","cerraras","cerrara","cerráramos","cerrarais","cerraran",,"cierra","cierre","cerremos","cerrad","cierren",,"cierres","cierre","cerremos","cerréis","cierren","cerrando","cerrado","cerrado"
"comenzar","comienzo","comienzas","comienza","comenzamos","comenzáis","comienzan","comenzaba","comenzabas","comenzaba","comenzábamos","comenzabais","comenzaban","comencé","comenzaste","comenzó","comenzamos","comenzasteis","comenzaron","comenzaré","comenzarás","comenzará","comenzaremos","comenzaréis","comenzarán","comenzaría","comenzarías","comenzaría","comenzaríamos","comenzaríais","comenzarían","comience","comiences","comience","comencemos","comencéis","comiencen","comenzara","comenzaras","comenzara","comenzáramos","comenzarais","comenzaran",,"comienza","comience","comencemos","comenzad","comiencen",,"comiences","comience","comencemos","comencéis","comiencen","comenzando","comenzado","comenzado"
"confesar","confieso","confiesas","confiesa","confesamos","confesáis","confiesan","confesaba","confesabas","confesaba","confesábamos","confesabais","confesaban","confesé","confesaste","confesó","confesamos","confesasteis","confesaron","confesaré","confesarás","confesará","confesaremos","confesaréis","confesarán","confesaría","confesarías","confesaría","confesaríamos","confesaríais","confesarían","confiese","confieses","confiese","confesemos","confeséis","confiesen","confesara","confesaras","confesara","confesáramos","confesarais","confesaran",,"confiesa","confiese","confesemos","confesad","confiesen",,"confieses","confiese","confesemos","confeséis","confiesen","confesando","confesado","confesado"
"convertir","convierto","conviertes","convierte","convertimos","convertís","convierten","convertía","convertías","convertía","convertíamos","convertíais","convertían","convertí","convertiste","convirtió","convertimos","convertisteis","convirtieron","convertiré","convertirás","convertirá","convertiremos","convertiréis","convertirán","convertiría","convertirías","convertiría","convertiríamos","convertiríais","convertirían","convierta","conviertas","convierta","convirtamos","convirtáis","conviertan","convirtiera","convirtieras","convirtiera","convirtiéramos","convirtierais","convirtieran",,"convierte","convierta","convirtamos","convertid","conviertan",,"conviertas","convierta","convirtamos","convirtáis","conviertan","convirtiendo","convertido","convertido"
"defender","defiendo","defiendes","defiende","defendemos","defendéis","defienden","defendía","defendías","defendía","defendíamos","defendíais","defendían","defendí","defendiste","defendió","defendimos","defendisteis","defendieron","defenderé","defenderás","defenderá","defenderemos","defenderéis","defenderán","defendería","defenderías","defendería","defenderíamos","defenderíais","defenderían","defienda","defiendas","defienda","defendamos","defendáis","defiendan","defendiera","defendieras","defendiera","defendiéramos","defendierais","defendieran",,"defiende","defienda","defendamos","defended","defiendan",,"defiendas","defienda","defendamos","defendáis","defiendan","defendiendo","defendido","defendido"
"despertarse","me despierto","te despiertas","se despierta","nos despertamos","os despertáis","se despiertan","me despertaba","te despertabas","se despertaba","nos despertábamos","os despertabais","se despertaban","me desperté","te despertaste","se despertó","nos despertamos","os despertasteis","se despertaron","me despertaré","te despertarás","se despertará","nos despertaremos","os despertaréis","se despertarán","me despertaría","te despertarías","se despertaría","nos despertaríamos","os despertaríais","se despertarían","me despierte","te despiertes","se despierte","nos despertemos","os despertéis","se despierten","me despertara","te despertaras","se despertara","nos despertáramos","os despertarais","se despertaran",,"despiértate","despiértese","despertémonos","despertaos","despiértense",,"te despiertes","despiértese","despertémonos","os despertéis","despiértense","despertándose","despertado","despertado"
"divertirse","me divierto","te diviertes","se divierte","nos divertimos","os divertís","se divierten","me divertía","te divertías","se divertía","nos divertíamos","os divertíais","se divertían","me divertí","te divertiste","se divirtió","nos divertimos","os divertisteis","se divirtieron","me divertiré","te divertirás","se divertirá","nos divertiremos","os divertiréis","se divertirán","me divertiría","te divertirías","se divertiría","nos divertiríamos","os divertiríais","se divertirían","me divierta","te diviertas","se divierta","nos divirtamos","os divirtáis","se diviertan","me divirtiera","te divirtieras","se divirtiera","nos divirtiéramos","os divirtierais","se divirtieran",,"diviértete","diviértase","divirtámonos","divertíos","diviértanse",,"te diviertas","diviértase","divirtámonos","os divirtáis","diviértanse","divirtiéndose","divertido","divertido"
"empezar","empiezo","empiezas","empieza","empezamos","empezáis","empiezan","empezaba","empezabas","empezaba","empezábamos","empezabais","empezaban","empecé","empezaste","empezó","empezamos","empezasteis","empezaron","empezaré","empezarás","empezará","empezaremos","empezaréis","empezarán","empezaría","empezarías","empezaría","empezaríamos","empezaríais","empezarían","empiece","empieces","empiece","empecemos","empecéis","empiecen","empezara","empezaras","empezara","empezáramos","empezarais","empezaran",,"empieza","empiece","empecemos","empezad","empiecen",,"empieces","empiece","empecemos","empecéis","empiecen","empezando","empezado","empezado"
"encender","enciendo","enciendes","enciende","encendemos","encendéis","encienden","encendía","encendías","encendía","encendíamos","encendíais","encendían","encendí","encendiste","encendió","encendimos","encendisteis","encendieron","encenderé","encenderás","encenderá","encenderemos","encenderéis","encenderán","encendería","encenderías","encendería","encenderíamos","encenderíais","encenderían","encienda","enciendas","encienda","encendamos","encendáis","enciendan","encendiera","encendieras","encendiera","encendiéramos","encendierais","encendieran",,"enciende","encienda","encendamos","encended","enciendan",,"enciendas","encienda","encendamos","encendáis","enciendan","encendiendo","encendido","encendido"
"encerrar","encierro","encierras","encierra","encerramos","encerráis","encierran","encerraba","encerrabas","encerraba","encerrábamos","encerrabais","encerraban","encerré","encerraste","encerró","encerramos","encerrasteis","encerraron","encerraré","encerrarás","encerrará","encerraremos","encerraréis","encerrarán","encerraría","encerrarías","encerraría","encerraríamos","encerraríais","encerrarían","encierre","encierres","encierre","encerremos","encerréis","encierren","encerrara","encerraras","encerrara","encerráramos","encerrarais","encerraran",,"encierra","encierre","encerremos","encerrad","encierren",,"encierres","encierre","encerremos","encerréis","encierren","encerrando","encerrado","encerrado"
"entender","entiendo","entiendes","entiende","entendemos","entendéis","entienden","entendía","entendías","entendía","entendíamos","entendíais","entendían","entendí","entendiste","entendió","entendimos","entendisteis","entendieron","entenderé","entenderás","entenderá","entenderemos","entenderéis","entenderán","entendería","entenderías","entendería","entenderíamos","entenderíais","entenderían","entienda","entiendas","entienda","entendamos","entendáis","entiendan","entendiera","entendieras","entendiera","entendiéramos","entendierais","entendieran",,"entiende","entienda","entendamos","entended","entiendan",,"entiendas","entienda","entendamos","entendáis","entiendan","entendiendo","entendido","entendido"
"errar","yerro","yerras","yerra","erramos","erráis","yerran","erraba","errabas","erraba","errábamos","errabais","erraban","erré","erraste","erró","erramos","errasteis","erraron","erraré","errarás","errará","erraremos","erraréis","errarán","erraría","errarías","erraría","erraríamos","erraríais","errarían","yerre","yerres","yerre","erremos","erréis","yerren","errara","erraras","errara","erráramos","errarais","erraran",,"yerra","yerre","erremos","errad","yerren",,"yerres","yerre","erremos","erréis","yerren","errando","errado","errado"
"fregar","friego","friegas","friega","fregamos","fregáis","friegan","fregaba","fregabas","fregaba","fregábamos","fregabais","fregaban","fregué","fregaste","fregó","fregamos","fregasteis","fregaron","fregaré","fregarás","fregará","fregaremos","fregaréis","fregarán","fregaría","fregarías","fregaría","fregaríamos","fregaríais","fregarían","friegue","friegues","friegue","freguemos","freguéis","frieguen","fregara","fregaras","fregara","fregáramos","fregarais","fregaran",,"friega","friegue","freguemos","fregad","frieguen",,"friegues","friegue","freguemos","freguéis","frieguen","fregando","fregado","fregado"
"gobernar","gobierno","gobiernas","gobierna","gobernamos","gobernáis","gobiernan","gobernaba","gobernabas","gobernaba","gobernábamos","gobernabais","gobernaban","goberné","gobernaste","gobernó","gobernamos","gobernasteis","gobernaron","gobernaré","gobernarás","gobernará","gobernaremos","gobernaréis","gobernarán","gobernaría","gobernarías","gobernaría","gobernaríamos","gobernaríais","gobernarían","gobierne","gobiernes","gobierne","gobernemos","gobernéis","gobiernen","gobernara","gobernaras","gobernara","gobernáramos","gobernarais","gobernaran",,"gobierna","gobierne","gobernemos","gobernad","gobiernen",,"gobiernes","gobierne","gobernemos","gobernéis","gobiernen","gobernando","gobernado","gobernado"
"helar",,,"hiela",,,,,,"helaba",,,,,,"heló",,,,,,"helará",,,,,,"helaría",,,,,,"hiele",,,,,,"helara",,,,,,"hiele",,,,,,"hiele",,,,"helando","helado","helado"
"herir","hiero","hieres","hiere","herimos","herís","hieren","hería","herías","hería","heríamos","heríais","herían","herí","heriste","hirió","herimos","heristeis","hirieron","heriré","herirás","herirá","heriremos","heriréis","herirán","heriría","herirías","heriría","heriríamos","heriríais","herirían","hiera","hieras","hiera","hiramos","hiráis","hieran","hiriera","hirieras","hiriera","hiriéramos","hirierais","hirieran",,"hiere","hiera","hiramos","herid","hieran",,"hieras","hiera","hiramos","hiráis","hieran","hiriendo","herido","herido"
"mentir","miento","mientes","miente","mentimos","mentís","mienten","mentía","mentías","mentía","mentíamos","mentíais","mentían","mentí","mentiste","mintió","mentimos","mentisteis","mintieron","mentiré","mentirás","mentirá","mentiremos","mentiréis","mentirán","mentiría","mentirías","mentiría","mentiríamos","mentiríais","mentirían","mienta","mientas","mienta","mintamos","mintáis","mientan","mintiera","mintieras","mintiera","mintiéramos","mintierais","mintieran",,"miente","mienta","mintamos","mentid","mientan",,"mientas","mienta","mintamos","mintáis","mientan","mintiendo","mentido","mentido"
